Marca temporal,Nombre de usuario,Nombre de la Institución:,  Nombre del Responsable/Coordinador  ,Categoría en la que Participará:  ,Nivel del Robot  ,Nombre del Robot,Aceptación de Términos
2026/04/15 9:00:00 a. m. GMT-5,carlos.vega@tecnibot.edu.ec,Unidad Educativa Técnico Salesiano,Carlos Vega Torres,Soccer,Open,Titan X,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 9:17:00 a. m. GMT-5,maria.cordero@tecnibot.edu.ec,Unidad Educativa Herlinda Toral,María José Cordero,Soccer,Open,Ares Goal,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 9:34:00 a. m. GMT-5,andres.pulla@tecnibot.edu.ec,Unidad Educativa Borja,Andrés Pulla Crespo,Soccer,Open,Vortex Prime,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 9:51:00 a. m. GMT-5,diana.palacios@tecnibot.edu.ec,Unidad Educativa La Asunción,Diana Palacios Mora,Soccer,Open,Falcon Bot,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 10:08:00 a. m. GMT-5,kevin.ochoa@tecnibot.edu.ec,Unidad Educativa Manuela Garaicoa,Kevin Ochoa León,Soccer,Open,Omega Kick,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 10:25:00 a. m. GMT-5,lucia.vintimilla@tecnibot.edu.ec,Unidad Educativa Benigno Malo,Lucía Vintimilla Peña,Soccer,Open,Nebula Drive,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 10:42:00 a. m. GMT-5,esteban.narvaez@tecnibot.edu.ec,Unidad Educativa Ciudad de Cuenca,Esteban Narváez Ruiz,Soccer,Open,Raptor One,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 10:59:00 a. m. GMT-5,melany.cabrera@tecnibot.edu.ec,Unidad Educativa Sagrados Corazones,Melany Cabrera Ortiz,Soccer,Open,Quantum FC,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 11:16:00 a. m. GMT-5,javier.sarmiento@tecnibot.edu.ec,Unidad Educativa Febres Cordero,Javier Sarmiento Solís,Soccer,Senior,Striker Pro,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 11:33:00 a. m. GMT-5,paola.guaman@tecnibot.edu.ec,Unidad Educativa Santana,Paola Guamán Vélez,Soccer,Senior,Atlas Soccer,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 11:50:00 a. m. GMT-5,diego.crespo@tecnibot.edu.ec,Unidad Educativa del Pacífico,Diego Crespo Alvarado,Soccer,Senior,Inferno Ball,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 12:07:00 p. m. GMT-5,valentina.cardenas@tecnibot.edu.ec,Unidad Educativa Eugenio Espejo,Valentina Cárdenas Patiño,Soccer,Senior,Vector Shot,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 12:24:00 p. m. GMT-5,jose.peralta@tecnibot.edu.ec,Unidad Educativa Particular Sudamericano,José Miguel Peralta,Soccer,Senior,Phoenix Goal,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 12:41:00 p. m. GMT-5,sofia.neira@tecnibot.edu.ec,Unidad Educativa Daniel Córdova Toral,Sofía Neira Campoverde,Soccer,Senior,Orion Dribble,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 12:58:00 p. m. GMT-5,mateo.bermeo@tecnibot.edu.ec,Unidad Educativa Miguel Merchán,Mateo Bermeo Tapia,Soccer,Senior,Cobra Tech,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
